Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,174.300003,177.279999,172.899994,177.039993,174.202438,50479600
2020-04-17,179.500000,180.000000,175.869995,178.600006,175.737457,52765600
2020-04-20,176.630005,178.750000,174.990005,175.059998,172.254181,36669600
2020-04-21,173.500000,173.669998,166.110001,167.820007,165.130234,56203700
2020-04-22,171.389999,174.000000,170.820007,173.520004,170.738876,34620200
2020-04-23,174.110001,175.059998,170.910004,171.419998,168.672516,32790800
2020-04-24,172.059998,174.559998,170.710007,174.550003,171.752350,34277600
2020-04-27,176.589996,176.899994,173.300003,174.050003,171.260345,33194400
2020-04-28,175.589996,175.669998,169.389999,169.809998,167.088318,34392700
2020-04-29,173.220001,177.679993,171.880005,177.429993,174.586182,51286600
2020-04-30,180.000000,180.399994,176.229996,179.210007,176.337677,53875900
2020-05-01,175.800003,178.639999,174.009995,174.570007,171.772034,39370500
2020-05-04,174.490005,179.000000,173.800003,178.839996,175.973587,30372900
2020-05-05,180.619995,183.649994,179.899994,180.759995,177.862823,36839200
2020-05-06,182.080002,184.199997,181.630005,182.539993,179.614288,32139300
2020-05-07,184.169998,184.550003,182.580002,183.600006,180.657303,28316000
2020-05-08,184.979996,185.000000,183.360001,184.679993,181.719986,30877800
2020-05-11,183.149994,187.509995,182.850006,186.740005,183.746979,30892700
2020-05-12,186.800003,187.039993,182.300003,182.509995,179.584747,32038200
2020-05-13,182.550003,184.050003,176.539993,179.750000,176.868988,44711500
2020-05-14,177.539993,180.690002,175.679993,180.529999,177.636490,41873900
2020-05-15,179.059998,187.059998,177.000000,183.160004,180.224365,46610400
2020-05-18,185.750000,186.199997,183.960007,184.910004,181.946289,35264500
2020-05-19,185.029999,186.600006,183.490005,183.630005,180.686829,26799100
2020-05-20,184.809998,185.850006,183.940002,185.660004,183.193085,31261300
2020-05-21,185.399994,186.669998,183.289993,183.429993,180.992706,29119500
2020-05-22,183.190002,184.460007,182.539993,183.509995,181.071640,20826900
2020-05-26,186.339996,186.500000,181.100006,181.570007,179.157425,36073600
2020-05-27,180.199997,181.990005,176.600006,181.809998,179.394226,39517100
2020-05-28,180.740005,184.149994,180.380005,181.399994,178.989670,33810200
2020-05-29,182.729996,184.270004,180.410004,183.250000,180.815094,42130400
2020-06-01,182.539993,183.000000,181.460007,182.830002,180.400681,22622400
2020-06-02,184.250000,185.000000,181.350006,184.910004,182.453033,30794600
2020-06-03,184.820007,185.940002,183.580002,185.360001,182.897079,27311000
2020-06-04,184.300003,185.839996,182.300003,182.919998,180.489471,28761800
2020-06-05,182.619995,187.729996,182.009995,187.199997,184.712616,39893600
2020-06-08,185.940002,188.550003,184.440002,188.360001,185.857208,33211600
2020-06-09,188.000000,190.699997,187.259995,189.800003,187.278076,29783900
2020-06-10,191.130005,198.520004,191.009995,196.839996,194.224533,43872300
2020-06-11,193.130005,195.759995,186.070007,186.270004,183.794983,52854700
2020-06-12,190.539993,191.720001,185.179993,187.740005,185.245453,43373600
2020-06-15,184.580002,190.820007,184.009995,188.940002,186.429489,32770200
2020-06-16,192.889999,195.580002,191.460007,193.570007,190.997955,42556700
2020-06-17,195.029999,196.320007,193.690002,194.240005,191.659058,25687800
2020-06-18,194.000000,196.490005,194.000000,196.320007,193.711441,23061600
2020-06-19,198.589996,199.289993,194.369995,195.149994,192.556976,44441100
2020-06-22,195.789993,200.759995,195.229996,200.570007,197.904968,32818900
2020-06-23,202.089996,203.949997,201.429993,201.910004,199.227158,30917400
2020-06-24,201.600006,203.250000,196.559998,197.839996,195.211227,36740600
2020-06-25,197.800003,200.610001,195.470001,200.339996,197.678009,27803900
2020-06-26,199.729996,199.889999,194.880005,196.330002,193.721298,54675800
2020-06-29,195.779999,198.529999,193.550003,198.440002,195.803268,26701600
2020-06-30,197.880005,204.399994,197.740005,203.509995,200.805878,34310300
2020-07-01,203.139999,206.350006,201.770004,204.699997,201.980087,32061200
2020-07-02,205.679993,208.020004,205.000000,206.259995,203.519348,29315800
2020-07-06,208.830002,211.130005,208.089996,210.699997,207.900330,31897600
2020-07-07,210.449997,214.669998,207.990005,208.250000,205.482910,33600700
2020-07-08,210.070007,213.259995,208.690002,212.830002,210.002060,33600000
2020-07-09,216.330002,216.380005,211.470001,214.320007,211.472260,33121700
2020-07-10,213.619995,214.080002,211.080002,213.669998,210.830917,26177600
2020-07-13,214.479996,215.800003,206.500000,207.070007,204.318619,38135600
2020-07-14,206.130005,208.850006,202.029999,208.350006,205.581589,37591800
2020-07-15,209.559998,211.330002,205.029999,208.039993,205.275711,32179400
2020-07-16,205.399994,205.699997,202.309998,203.919998,201.210449,29940700
2020-07-17,204.470001,205.039993,201.389999,202.880005,200.184265,31635300
2020-07-20,205.000000,212.300003,203.009995,211.600006,208.788406,36884800
2020-07-21,213.660004,213.940002,208.029999,208.750000,205.976257,37990400
2020-07-22,209.199997,212.300003,208.389999,211.750000,208.936401,49605700
2020-07-23,207.190002,210.919998,202.149994,202.539993,199.848785,67457000
2020-07-24,200.419998,202.860001,197.509995,201.300003,198.625275,39827000
2020-07-27,201.470001,203.970001,200.860001,203.850006,201.141373,30160900
2020-07-28,203.610001,204.699997,201.740005,202.020004,199.335709,23251400
2020-07-29,202.500000,204.649994,202.009995,204.059998,201.348572,19632600
2020-07-30,201.000000,204.460007,199.570007,203.899994,201.190704,25079600
2020-07-31,204.399994,205.100006,199.009995,205.009995,202.285965,51044000
2020-08-03,211.520004,217.639999,210.440002,216.539993,213.662750,78983000
2020-08-04,214.169998,214.770004,210.309998,213.289993,210.455948,49280100
2020-08-05,214.899994,215.000000,211.570007,212.940002,210.110596,28806400
2020-08-06,212.339996,216.369995,211.550003,216.350006,213.475296,32656800
2020-08-07,214.850006,215.699997,210.929993,212.479996,209.656708,27820400
2020-08-10,211.669998,211.880005,206.350006,208.250000,205.482910,36716500
2020-08-11,207.160004,207.649994,203.139999,203.380005,200.677643,36446500
2020-08-12,205.289993,210.279999,204.750000,209.190002,206.410431,28013100
